177,1,MOVE
177,3,MOVE
178,3,MOVE
178,1,ENLARGE
178,3,MOVE
180,3,MOVE
181,2,MOVE
183,2,MOVE
194,3,MOVE
196,1,MOVE
197,3,MOVE
199,1,NORMAL
199,3,SHRINK
200,1,MOVE
201,3,MOVE
202,1,MOVE
203,3,MOVE
204,3,MOVE
208,2,ENLARGE
210,2,MOVE
212,2,SHRINK
215,3,ENLARGE
216,3,MOVE
217,2,MOVE
228,1,MOVE
228,2,MOVE
230,3,MOVE
230,2,MOVE
231,3,MOVE
233,3,SHRINK
234,2,MOVE
234,3,MOVE
236,1,NORMAL
237,1,ENLARGE
239,1,MOVE
244,2,MOVE
244,2,MOVE
249,2,MOVE
254,1,SHRINK
255,1,MOVE
256,1,MOVE
257,1,ENLARGE
259,1,MOVE
263,3,MOVE
275,1,MOVE
277,1,ENLARGE
277,3,SHRINK
278,1,MOVE
286,2,MOVE
291,3,MOVE
292,3,SHRINK
294,3,MOVE
295,2,MOVE
297,1,MOVE
297,2,NORMAL
300,2,MOVE
302,3,ENLARGE
304,3,MOVE
306,2,MOVE
311,3,SHRINK
313,3,MOVE
315,3,MOVE
316,2,ENLARGE
316,2,NORMAL
317,2,MOVE
322,3,MOVE
328,3,SHRINK
330,3,MOVE
331,1,MOVE
332,3,MOVE
333,1,ENLARGE
334,1,MOVE
345,1,MOVE
346,1,SHRINK
347,1,MOVE
348,3,MOVE
349,1,MOVE
349,3,MOVE
351,1,ENLARGE
352,1,MOVE
361,3,SHRINK
363,3,MOVE
363,1,MOVE
365,1,ENLARGE
366,1,MOVE
367,1,MOVE
373,1,SHRINK
374,3,ENLARGE
375,1,MOVE
377,3,MOVE
384,1,MOVE
388,1,SHRINK
389,1,MOVE
390,1,MOVE
390,3,MOVE
391,1,ENLARGE
392,1,MOVE
402,1,SHRINK
403,1,MOVE
404,1,MOVE
405,1,ENLARGE
406,2,MOVE
406,1,MOVE
407,2,MOVE
414,2,MOVE
415,1,SHRINK
417,1,MOVE
418,2,ENLARGE
419,3,MOVE
419,2,MOVE
420,2,MOVE
420,2,MOVE
421,2,MOVE
425,2,MOVE
428,1,SHRINK
430,1,MOVE
431,1,MOVE
433,1,MOVE
434,1,ENLARGE
435,1,MOVE
443,3,MOVE
445,1,SHRINK
446,1,MOVE
448,1,ENLARGE
448,3,MOVE
450,2,MOVE
453,2,MOVE
454,1,SHRINK
455,1,MOVE
457,1,MOVE
457,3,MOVE
458,1,ENLARGE
459,1,MOVE
460,2,MOVE
466,1,MOVE
467,1,SHRINK
468,1,MOVE
469,2,MOVE
469,1,MOVE
470,3,MOVE
471,1,ENLARGE
471,1,MOVE
480,3,MOVE
481,1,MOVE
482,1,SHRINK
483,1,MOVE
485,1,MOVE
485,3,MOVE
487,1,MOVE
488,1,SHRINK
488,1,ENLARGE
489,1,MOVE
504,1,SHRINK
505,1,MOVE
506,3,MOVE
507,1,MOVE
508,1,ENLARGE
509,1,MOVE
513,1,SHRINK
514,1,MOVE
515,1,MOVE
515,3,MOVE
516,1,ENLARGE
517,1,MOVE
525,2,MOVE
527,1,SHRINK
528,1,MOVE
529,1,MOVE
530,1,ENLARGE
531,1,MOVE
540,1,NORMAL
541,1,ROTATE
542,1,SHRINK
543,1,MOVE
544,3,MOVE
544,1,MOVE
544,3,MOVE
545,1,ENLARGE
545,1,SAVE
545,1,INIT_STAGE2
545,1,INTERACTION_TIME
545,1,SLIP_INTERACTION
545,2,INTERACTION_TIME
545,2,SLIP_INTERACTION
545,3,INTERACTION_TIME
545,3,SLIP_INTERACTION
546,1,MOVE
546,3,MOVE
561,1,MOVE
562,1,MOVE
564,1,MOVE
566,2,MOVE
571,3,MOVE
572,3,SHRINK
575,1,MOVE
577,3,MOVE
579,3,MOVE
580,3,MOVE
584,3,CREATE_OBJECT
604,1,ENTER_GROUP_NAME
606,1,MOVE
606,3,MOVE
608,3,MOVE
608,1,MOVE
609,3,MOVE
609,3,MOVE
610,3,MOVE
611,3,MOVE
611,1,MOVE
612,3,MOVE
612,1,MOVE
612,3,MOVE
613,3,MOVE
614,3,MOVE
615,3,MOVE
615,3,MOVE
615,2,MOVE
616,3,MOVE
616,3,MOVE
617,3,SHRINK
617,1,ADD_OBJ_TO_GROUP
617,1,SHRINK
617,1,MOVE
618,3,MOVE
619,2,MOVE
620,2,MOVE
621,1,MOVE
622,3,MOVE
623,1,MOVE
624,3,ENLARGE
625,3,MOVE
627,1,MOVE
628,1,ENLARGE
629,1,MOVE
630,3,MOVE
632,3,SHRINK
633,1,MOVE
634,3,MOVE
635,1,SHRINK
635,1,NORMAL
636,3,MOVE
636,1,ROTATE
637,1,MOVE
638,3,MOVE
639,1,ENLARGE
639,3,ENLARGE
640,1,MOVE
641,3,MOVE
641,1,MOVE
643,3,MOVE
644,1,MOVE
645,1,MOVE
646,3,MOVE
647,3,SHRINK
648,2,MOVE
649,3,MOVE
649,3,MOVE
650,1,MOVE
651,3,MOVE
652,3,MOVE
653,1,MOVE
655,1,SHRINK
656,1,MOVE
657,1,MOVE
